Station,Sediment sample,Latitude Degrees,Latitude Minutes,Latitude Seconds,North/South,Longitude Degrees,Longitude Minutes,Longitude Seconds,East/West,Decimal_Longitude,Decimal_Latitude,Location,FAOarea,Water body,Sea Area,Place,Date,Gear,Depth (fathoms),Bottom water temperature (C) ,Bottom temp (F),Bottom water depth D (fathoms),Specific Gravity at bottom,Surface temp (C),Surface temp (F),Specific Gravity at surface,Temp (F) at 10 Fathoms,Temp (F) at 20 Fathoms,Temp (F) at 25 Fathoms,Temp (F) at 30 Fathoms,Temp (F) at 40 Fathoms,Temp (F) at 50 Fathoms,Temp (F) at 60 Fathoms,Temp (F) at 70 Fathoms,Temp (F) at 75 Fathoms,Temp (F) at 80 Fathoms,Temp (F) at 90 Fathoms,Temp (F) at 100 Fathoms,Temp (F) at 110 Fathoms,Temp (F) at 120 Fathoms,Temp (F) at 125 Fathoms,Temp (F) at 130 Fathoms,Temp (F) at 140 Fathoms,Temp (F) at 150 Fathoms,Temp (F) at 160 Fathoms,Temp (F) at 170 Fathoms,Temp (F) at 175 Fathoms,Temp (F) at 180 Fathoms,Temp (F) at 190 Fathoms,Temp (F) at 200 Fathoms,Temp (F) at 225 Fathoms,Temp (F) at 250 Fathoms,Temp (F) at 275 Fathoms,Temp (F) at 300 Fathoms,Temp (F) at 400 Fathoms,Temp (F) at 500 Fathoms,Temp (F) at 600 Fathoms,Temp (F) at 700 Fathoms,Temp (F) at 800 Fathoms,Temp (F) at 900 Fathoms,Temp (F) at 1000 Fathoms,Temp (F) at 1100 Fathoms,Temp (F) at 1200 Fathoms,Temp (F) at 1300 Fathoms,Temp (F) at 1330 Fathoms,Temp (F) at 1400 Fathoms,Temp (F) at 1450 Fathoms,Temp (F) at 1500 Fathoms,Temp (F) at 1530 Fathoms,Temp (F) at 1580 Fathoms,Temp (F) at 1600 Fathoms,Temp (F) at 1650 Fathoms,Temp (F) at 1700 Fathoms,Temp (F) at 1725 Fathoms,Temp (F) at 1730 Fathoms,Temp (F) at 1775 Fathoms,Temp (F) at 1780 Fathoms,Temp (F) at 1800 Fathoms,Temp (F) at 1825 Fathoms,Temp (F) at 1850 Fathoms,Temp (F) at 1900 Fathoms,Temp (F) at 1915 Fathoms,Temp (F) at 1980 Fathoms,Temp (F) at 2000 Fathoms,Temp (F) at 2025 Fathoms,Temp (F) at 2100 Fathoms,Temp (F) at 2125Fathoms,Temp (F) at 2180 Fathoms,Temp (F) at 2200 Fathoms,Temp (F) at 2225 Fathoms,Temp (F) at 2270 Fathoms,Temp (F) at 2300 Fathoms,Temp (F) at 2325 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2425 Fathoms,Temp (F) at 2400 Fathoms,Temp (F) at 2500 Fathoms,Temp (F) at 2525 Fathoms,Temp (F) at 2600 Fathoms,Temp (F) at 2625 Fathoms,Temp (F) at 2650 Fathoms,Temp (F) at 2675 Fathoms,Temp (F) at 2700 Fathoms,Temp (F) at 2775 Fathoms,Temp (F) at 2800 Fathoms,Temp (F) at 2900 Fathoms,
149C,Green mud,49,32,0,S,70,0,0,E,70.00,-49.53,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,19/01/1874,Dredge,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149D,Green mud,49,28,0,S,70,13,0,E,70.22,-49.47,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,20/01/1874,Dredge,28,,,,,5.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149E,Green mud,49,37,0,S,70,16,0,E,70.27,-49.62,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,21/01/1874,Dredge,30,,,,,-17.78,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149F,Green mud,48,55,0,S,69,31,0,E,69.52,-48.92,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,27/01/1874,Dredge,95,,,,,5.39,41.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149G,Green mud,48,50,0,S,69,18,0,E,69.30,-48.83,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,29/01/1874,Dredge,110,,,,,4.56,40.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149H,Green mud,48,45,0,S,69,14,0,E,69.23,-48.75,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,29/01/1874,Dredge,127,,,,,4.33,39.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149J,Green mud,48,43,0,S,69,15,0,E,69.25,-48.72,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,29/01/1874,Dredge,105,,,,,3.89,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149K,Green mud,48,40,0,S,69,6,0,E,69.10,-48.67,Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,29/01/1874,Dredge,45,,,,,3.89,39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Coarse gravel,52,4,0,S,71,22,0,E,71.37,-52.07,South of Kerguelen Island,58,Antarctic Indian Ocean,,French Southern and Antarctic Lands,02/02/1874,Dredge,150,1.78,35.20,,,3.06,37.50,,,,,,,36.3,,,,,,35.2,,,,,,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Volcanic mud,52,59,30,S,73,33,30,E,73.56,-52.99,Heard Island,58,Antarctic Indian Ocean,,Australian Territory,07/02/1874,Dredge,75,,,,,2.33,36.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Diatom ooze,60,52,0,S,80,20,0,E,80.33,-60.87,"Off Prince Elizabeth Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,11/02/1874,Trawl,1260,,,1260,,1.39,34.50,1.02721,34,33.5,,,,32.2,32.2,32.2,32.2,32.2,32.2,32,,,,,,35,,,,,,35.3,,,,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Blue mud,65,42,0,S,79,49,0,E,79.82,-65.70,"Off Prince Elizabeth Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,14/02/1874,Dredge,1675,,,1675,,-1.39,29.50,1.02632,,,,,,29,,,,,,29,,,,,,,,,,,,30.5,,,,32,,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Blue mud,64,37,0,S,85,49,0,E,85.82,-64.62,"Off Prince Elizabeth Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,19/02/1874,,1800,,,1800,,0.00,32.00,,,,,,,29.2,,,,,,29,,,,,,,,,,,,,,,,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Blue mud,64,18,0,S,94,47,0,E,94.78,-64.30,"Off Queen Mary Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,23/02/1874,Dredge,1300,,,,,-0.56,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Diatom ooze,62,26,0,S,95,44,0,E,95.73,-62.43,"Off Queen Mary Land, Antarctica",58,Antarctic Indian Ocean,,Antarctica,26/02/1874,Trawl,1975,,,1975,,0.56,33.00,1.02721,,,,,,,,,,,,31.9,,,,,,34,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Diatom ooze,53,55,0,S,108,35,0,E,108.58,-53.92,Indian Antarctic Ridge,57,Eastern Indian Ocean,,,03/03/1874,Trawl,1950,0.06,32.10,1950,1.02776,2.89,37.20,1.02708,36.8,36.8,,36.6,36.6,36.6,36.6,33,,32.5,32.5,32.5,,,,,,,,,,,,,,,,33,32.6,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Globigerina ooze,50,1,0,S,123,4,0,E,123.07,-50.02,Indian Antarctic Ridge,57,Eastern Indian Ocean,,,07/03/1874,Trawl,1800,0.83,33.50,1800,1.02776,7.22,45.00,1.02672,,,,,,44.5,,,,,,43.4,,,,,,42.3,,,,,,41.3,,,,39.5,38.2,37,36.3,36,36,36,36,36,35.7,35.3,,35,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Globigerina ooze,47,25,0,S,130,22,0,E,130.37,-47.42,Indian Antarctic Ridge,57,Eastern Indian Ocean,,,10/03/1874,Trawl,2150,1.39,34.50,2150,1.02773,10.83,51.50,1.02665,,,,,,50,,,,,,49,,,,,,48.1,,,,,,47.4,,,,47.2,46.9,44.8,41.8,39.4,38.3,37.9,37.7,37.5,37.3,37.1,,36.9,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Red clay,42,42,0,S,134,10,0,E,134.17,-42.70,South Australian Basin,57,Eastern Indian Ocean,,Australia,13/03/1874,Trawl,2600,1.06,33.90,2600,1.0278,12.78,55.00,1.02627,,,,,,51.8,,,,,,48.5,,,,,,47.9,,,,,,47.7,,47.5,,47.2,44.9,41.6,38.5,37,36.8,36.6,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Shelly sand,38,22,30,S,144,36,30,E,144.61,-38.38,"Entrance of Port Phillip Bay, Australia",57,Eastern Indian Ocean,,Australia,01/04/1874,Trawl,33,,,,,17.50,63.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Shelly sand,39,10,30,S,146,37,0,E,146.62,-39.18,"Off Port Jackson, South Australia",57,Southwest Pacific Ocean,Tasman Sea,Australia,02/04/1874,Dredge,38,,,,,17.33,63.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Globigerina ooze,36,57,0,S,150,34,0,E,150.57,-36.95,"NE of Cape Howe, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,02/04/1874,,2200,1.39,34.50,2200,1.02809,22.22,72.00,1.02481,,,,,,65.2,,,,,,59.3,,,,,,54.9,,,,,,51.4,,49.2,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163A,Green mud?,36,59,0,S,150,20,0,E,150.33,-36.98,"NE of Cape Howe, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,04/04/1874,Dredge,150,,,,,21.67,71.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163B,,33,51,15,S,151,22,15,E,151.37,-33.85,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,03/06/1874,Dredge,35,17.22,63.00,,,20.56,69.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163C,Hard ground,33,55,0,S,151,35,0,E,151.58,-33.92,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,12/06/1874,,85,16.94,62.50,,,19.72,67.50,1.02541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163D,Green sand,33,57,30,S,151,39,15,E,151.65,-33.96,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,12/06/1874,,120,,,,,20.00,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163E,Green sand,34,0,15,S,151,44,15,E,151.74,-34.00,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,12/06/1874,,290,,,,,21.22,70.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163F,Green mud,34,3,15,S,151,51,30,E,151.86,-34.05,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,12/06/1874,,650,4.89,40.80,,,21.22,70.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Green mud,34,8,0,S,152,0,0,E,152.00,-34.13,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,12/06/1874,,950,2.50,36.50,,,20.83,69.50,1.02518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164A,Green mud,34,9,0,S,151,55,0,E,151.92,-34.15,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,13/06/1874,,1200,,,,,21.22,70.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164B,Green mud,34,13,0,S,151,38,0,E,151.63,-34.22,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,13/06/1874,Trawl,410,,,,,20.56,69.00,1.02512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164C,Green mud,34,19,0,S,151,31,0,E,151.52,-34.32,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,13/06/1874,Dredge,400,4.44,40.00,,,19.44,67.00,,68,67.8,,67.6,67.2,66.3,65.3,64.2,,63,61.8,60.7,,,,,,,,,,,,55,,,,48.5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164D,,34,3,0,S,152,20,0,E,152.33,-34.05,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,14/06/1874,,2100,,,,,19.72,67.50,,,63.2,,,63,,59.5,,,56,,52.6,,,,,,,,,,,,48.2,,,,45.1,42.8,40.4,38.9,37.8,37.2,36.9,36.6,36.3,36,35.7,,35.4,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164E,,34,27,0,S,154,57,0,E,154.95,-34.45,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,16/06/1874,,2550,,,,,17.78,64.00,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Red clay,34,50,0,S,155,28,0,E,155.47,-34.83,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,17/06/1874,Dredge,2600,1.39,34.50,2600,1.02801,18.06,64.50,1.02579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165A,Red clay,36,41,0,S,158,29,0,E,158.48,-36.68,"Off Sydney, Australia",81,Southwest Pacific Ocean,Tasman Sea,Australia,19/06/1874,,2600,1.33,34.40,,,16.94,62.50,,62.8,62.5,,62.5,62,60.5,59.2,58,,57,56.4,55.8,,,,,,,,,,,,50.8,,,,47,43.8,41.6,39.8,38.6,37.5,36.9,36.5,36.2,36,35.7,,35.4,,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165B,Globigerina ooze,37,53,0,S,163,18,0,E,163.30,-37.88,Tasman Sea,81,Southwest Pacific Ocean,Tasman Sea,,21/06/1874,,1975,1.50,34.70,1965,1.02832,15.28,59.50,,,59.8,,,59,,58,,,57.2,,55.9,,,,,,,,,,,,51.2,,,,47.8,44.9,42.5,40.4,38.7,37.5,36.8,36.4,,,,,,,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165C,Globigerina ooze,38,36,0,S,166,39,0,E,166.65,-38.60,Tasman Sea,81,Southwest Pacific Ocean,Tasman Sea,,22/06/1874,,1100,2.44,36.40,1100,1.02795,14.56,58.20,,,58.1,,,57.8,,57.4,,,56.6,,55.9,,,,,,,,,,,,52.2,,,,48.5,45.3,42,39.8,38.2,37.4,36.9,36.5,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Globigerina ooze,38,50,0,S,169,20,0,E,169.33,-38.83,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,23/06/1874,Trawl,275,10.44,50.80,275,1.02772,14.72,58.50,1.02644,,,,,,58.5,,,,,,56.5,,,,,,54.7,,,,,,52.7,,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166A,,38,57,0,S,170,10,45,E,170.18,-38.95,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,23/06/1874,,350,,,,,14.72,58.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166B,Globigerina ooze,39,8,0,S,170,43,0,E,170.72,-39.13,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,23/06/1874,,400,,,,,14.72,58.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166C,Globigerina ooze,39,21,0,S,171,28,0,E,171.47,-39.35,"Off Cape Farewell, west of New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,24/06/1874,,400,,,,,14.44,58.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Blue mud,39,32,0,S,171,48,0,E,171.80,-39.53,"Off entrance of Cook Strait, New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,24/06/1874,Trawl,150,,,,,14.72,58.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167A,Mud,41,4,0,S,174,19,0,E,174.32,-41.07,"Port Hardy, New Zealand",81,Southwest Pacific Ocean,Tasman Sea,New Zealand,27/06/1874,Dredge,10,,,,,10.83,51.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Blue mud,40,28,0,S,177,43,0,E,177.72,-40.47,"East of North Island, New Zealand",81,Southwest Pacific Ocean,,New Zealand,08/07/1874,Trawl,1100,2.89,37.20,1100,1.02781,14.00,57.20,1.02654,,,56.5,,,56.5,,,56.5,,,55.7,,,54.8,,,53.9,,,,,,51.7,,,,48.2,45.4,43.7,42.1,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Blue mud,37,34,0,S,179,22,0,E,179.37,-37.57,"East Cape, New Zealand",81,Southwest Pacific Ocean,,New Zealand,10/07/1874,Trawl,700,4.44,40.00,700,1.02777,14.56,58.20,,,,,,,,,,,,,55.2,,,,,,,,,,,,50,,,,46.7,44.8,43,41.5,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Volcanic mud,29,55,0,S,178,14,0,W,-178.23,-29.92,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,14/07/1874,Trawl,520,6.11,43.00,,,18.33,65.00,,,,,,,62,,,,,,60.5,,,,,,56.2,,,,,,53,,50.8,,49,45.7,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170A,Volcanic mud,29,45,0,S,178,11,0,W,-178.18,-29.75,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,14/07/1874,Trawl,630,4.17,39.50,,1.02841,18.44,65.20,1.02576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Volcanic mud,28,33,0,S,177,50,0,W,-177.83,-28.55,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,15/07/1874,Trawl,600,4.17,39.50,,,19.17,66.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171A,Red clay,25,5,0,S,172,56,0,W,-172.93,-25.08,North of Kermadec Island,81,Southwest Pacific Ocean,,New Zealand,17/07/1874,,2900,1.28,34.30,2900,,22.22,72.00,1.02472,,,,,,,,,,,,67.6,,,,,,,,,,,,59.2,,,,50.4,44,41.3,39.2,37.9,37.2,36.9,36.7,36.4,36.2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Coral sand,20,58,0,S,175,9,0,W,-175.15,-20.97,"Tongatapu Island, Tonga Island",71,Western Central Pacific Ocean,,Tonga,22/07/1874,Dredge,18,,,,,23.89,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172A,Coral sand,20,56,0,S,175,11,0,W,-175.18,-20.93,"Tongatapu Island, Tonga Island",71,Western Central Pacific Ocean,,Tonga,22/07/1874,Dredge,240,,,,,23.89,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Coral mud,19,9,35,S,179,41,50,E,179.70,-19.16,"Matuku Island, Fiji Island",71,Western Central Pacific Ocean,,Fiji,24/07/1874,Dredge,315,,,,,24.44,76.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173A,Coral mud,19,9,32,S,179,41,55,E,179.70,-19.16,"Matuku Island, Fiji Island",71,Western Central Pacific Ocean,,Fiji,24/07/1874,Trawl,310,,,,,25.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Coral mud,19,6,0,S,178,14,20,E,178.24,-19.10,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,03/08/1874,,140,,,,,25.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174A,Coral mud,19,6,32,S,178,16,20,E,178.27,-19.11,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,03/08/1874,,160,,,,,25.00,77.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174B,Coral mud,19,6,45,S,178,17,0,E,178.28,-19.11,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,03/08/1874,Trawl,255,,,,,25.39,77.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174C,Globigerina ooze,19,7,50,S,178,19,35,E,178.33,-19.13,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,03/08/1874,Trawl,610,3.89,39.00,,,25.56,78.00,,,,,,,76.8,,,,,,71,,,,,,65.2,,,,,,59.5,,53.7,,47.8,42.3,39.8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174D,Coral mud,19,5,50,S,178,16,20,E,178.27,-19.10,"Ngaloa Harbour, Kandavu Island, Fiji",71,Western Central Pacific Ocean,,Fiji,03/08/1874,Dredge,210,,,,,25.39,77.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Globigerina ooze,19,2,0,S,177,10,0,E,177.17,-19.03,"South of Viti Levu I., Fiji",71,Western Central Pacific Ocean,,Fiji,12/08/1874,Trawl,1350,2.22,36.00,1350,1.02842,25.28,77.50,1.02387,,,,,,71.5,,,,,,70.8,,,,,,66,,,,,,60.8,,54.2,,47,42,40,38.9,37.9,37.2,36.8,36.4,36.2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Globigerina ooze,18,30,0,S,175,52,0,E,175.87,-18.50,"South-west of Viti Levu I., Fiji",71,Western Central Pacific Ocean,,Fiji,15/08/1874,,1450,2.33,36.20,1450,1.02829,25.28,77.50,1.02376,,,76,,,75.2,,,72.9,,,69.7,,,67,,,64,,,61,,,56.8,,,,45.2,41.8,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Volcanic sand,16,45,0,S,168,7,0,E,168.12,-16.75,"Api I., New Hebrides Island",71,Western Central Pacific Ocean,Coral Sea,Vanuatu,18/08/1874,Dredge,130,,,,,25.94,78.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Red clay,16,47,0,S,165,20,0,E,165.33,-16.78,West of New Hebrides Island,71,Western Central Pacific Ocean,Coral Sea,Vanuatu,19/08/1874,,2650,2.11,35.80,,,26.11,79.00,,,,,,,76,,,,,,71.5,,,,,,65,,,,,,57,,51.5,,47.5,42.3,40,38.5,38,37.4,36.8,36.3,35.8,,35.8,,,,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
